id,lot_frontage,lot_area,overall_qual,year_built,exter_qual,bsmt_qual,bsmt_exposure,total_bsmt_sf,heating_qc,gr_liv_area,full_bath,kitchen_qual,totrms_abvgrd,fireplaces,garage_area,saleprice,neighborhood_stonebr,neighborhood_nridght,neighborhood_noridge,bsmt_fin_glq,garage_builtin,garage_attchd,foundation_pconc,house_1story,house_2story,masvnr_stone,masvnr_brkface
109,69.05520046484602,13517,6,1976,4,3,1,725.0,5,1479,2,4,6,0,475.0,130500,0,0,0,1,0,1,0,0,1,0,1
544,43.0,11492,7,1996,4,4,1,913.0,5,2122,2,4,8,1,559.0,220000,0,0,0,1,0,1,1,0,1,0,1
153,68.0,7922,5,1953,3,3,1,1057.0,3,1057,1,4,5,0,246.0,109000,0,0,0,1,0,0,0,1,0,0,0
318,73.0,9802,5,2006,3,4,1,384.0,4,1444,2,3,7,0,400.0,174000,0,0,0,0,1,0,1,0,1,0,0
255,82.0,14235,6,1900,3,2,1,676.0,3,1445,2,3,6,0,484.0,138500,0,0,0,0,0,0,1,0,0,0,0
138,137.0,16492,6,1966,4,3,1,1517.0,5,1888,2,4,6,1,578.0,190000,0,0,0,0,0,1,0,1,0,0,0
2827,35.0,3675,6,2005,3,4,4,547.0,4,1072,2,3,5,0,525.0,140000,0,0,0,1,0,0,1,0,0,0,1
145,69.05520046484602,12160,5,1959,3,3,1,1188.0,2,1188,1,3,6,0,531.0,142000,0,0,0,0,0,1,0,1,0,0,1
1942,69.05520046484602,15783,5,1952,3,3,1,924.0,3,924,1,3,6,0,420.0,112500,0,0,0,0,0,0,0,1,0,0,0
1956,70.0,11606,5,1969,3,4,3,1040.0,3,2080,1,2,9,2,504.0,135000,0,0,0,0,0,1,1,0,1,0,1
1044,21.0,1680,6,1971,3,3,1,483.0,3,987,1,3,4,0,264.0,85400,0,0,0,0,0,0,0,0,1,0,1
2752,64.0,7488,7,2005,4,4,3,1208.0,5,1208,2,4,6,0,632.0,183600,0,0,0,1,0,1,1,1,0,0,0
